ID,RANK,TITULO,TITULO COMPLETO,ANO DE LANÇAMENTO,DIRETOR,ELENCO,NOTA DO PUBLICO,NUMERO DE VOTOS,MEDIA DE VOTOS
1979320,220,Rush,Rush (2013),2013,Ron Howard ," Daniel Brühl, Chris Hemsworth",8.0,427352,0.31929611998490576
4016934,221,The Handmaiden,The Handmaiden (2016),2016,Chan-wook Park ," Min-hee Kim, Jung-woo Ha",8.0,108597,0.0811382671474588
53198,222,The 400 Blows,The 400 Blows (1959),1959,François Truffaut ," Jean-Pierre Léaud, Albert Rémy",8.0,103421,0.07727101786105818
19254,223,The Passion of Joan of Arc,The Passion of Joan of Arc (1928),1928,Carl Theodor Dreyer ," Maria Falconetti, Eugene Silvain",8.0,46676,0.034873981393360655
60107,224,Andrei Rublev,Andrei Rublev (1966),1966,Andrei Tarkovsky ," Anatoliy Solonitsyn, Ivan Lapikov",8.0,45797,0.0342172363928301
1895587,225,Spotlight,Spotlight (2015),2015,Tom McCarthy ," Mark Ruffalo, Michael Keaton",8.0,412839,0.3084527295495248
395169,226,Hotel Rwanda,Hotel Rwanda (2004),2004,Terry George ," Don Cheadle, Sophie Okonedo",8.0,331518,0.2476937304731369
113247,227,La Haine,La Haine (1995),1995,Mathieu Kassovitz ," Vincent Cassel, Hubert Koundé",8.0,147205,0.10998424095915792
245712,228,Amores Perros,Amores Perros (2000),2000,Alejandro G. Iñárritu ," Emilio Echevarría, Gael García Bernal",8.0,221264,0.16531743549191344
48021,229,Rififi,Rififi (1955),1955,Jules Dassin ," Jean Servais, Carl Möhner",8.0,27638,0.02064973643306414
75148,230,Rocky,Rocky (1976),1976,John G. Avildsen ," Sylvester Stallone, Talia Shire",8.0,511604,0.3822450162132334
87544,231,Nausicaä of the Valley of the Wind,Nausicaä of the Valley of the Wind (1984),1984,Hayao Miyazaki ," Sumi Shimamoto, Mahito Tsujimura",8.0,147800,0.11042879531105289
1954470,232,Gangs of Wasseypur,Gangs of Wasseypur (2012),2012,Anurag Kashyap ," Manoj Bajpayee, Richa Chadha",8.0,80368,0.0600469649631847
198781,233,"Monsters, Inc.","Monsters, Inc. (2001)",2001,Pete Docter ," Billy Crystal, John Goodman",8.0,804129,0.6008051200587392
32976,234,Rebecca,Rebecca (1940),1940,Alfred Hitchcock ," Laurence Olivier, Joan Fontaine",8.0,122049,0.09118893125114137
405508,235,Rang De Basanti - Die Farbe Safran,Rang De Basanti - Die Farbe Safran (2006),2006,Rakeysh Omprakash Mehra ," Aamir Khan, Soha Ali Khan",8.0,110362,0.08245698719971867
381681,236,Before Sunset,Before Sunset (2004),2004,Richard Linklater ," Ethan Hawke, Julie Delpy",8.0,232111,0.17342177339948442
118694,237,In the Mood for Love,In the Mood for Love (2000),2000,Kar-Wai Wong ," Tony Chiu-Wai Leung, Maggie Cheung",8.0,121430,0.09072644529513635
8613070,238,Portrait of a Lady on Fire,Portrait of a Lady on Fire (2019),2019,Céline Sciamma ," Noémie Merlant, Adèle Haenel",8.0,56036,0.041867306996279836
87884,239,"Paris, Texas","Paris, Texas (1984)",1984,Wim Wenders ," Harry Dean Stanton, Nastassja Kinski",8.0,88576,0.06617957356882152
25316,240,It Happened One Night,It Happened One Night (1934),1934,Frank Capra ," Clark Gable, Claudette Colbert",8.0,92551,0.06914949549954841
